"id","name","terms"
"d014205","trench fever","bartonella quintana infection;bartonella quintana infections;infection bartonella quintana"
"d001474","bartonella infections","bartonella infection;infection bartonella;rochalimaea infections;infections rochalimaea;infection rochalimaea;rochalimaea infection;bartonellosis;bartonelloses;verruga peruana;carrion disease;disease carrion;oroya fever;fever oroya;carrions disease;disease carrions;bartonella bacilliformis infection;bartonella bacilliformis infections;infection bartonella bacilliformis"
"d016917","angiomatosis bacillary","angiomatoses bacillary;bacillary angiomatoses;angiomatosis epithelioid;angiomatoses epithelioid;epithelioid angiomatoses;epithelioid angiomatosis;angiomatoses bacillary epithelioid;bacillary epithelioid angiomatoses;bacillary epithelioid angiomatosis;epithelioid angiomatoses bacillary;bacillary peliosis;bacillary pelioses;pelioses bacillary;peliosis bacillary"
"d001476","bartonellaceae infections","bartonellaceae infection;infection bartonellaceae"
"d014917","whooping cough","bordetella pertussis infection respiratory;pertussis;pertusses"
"d001885","bordetella infections","bordetella infection;infection bordetella"
"d002007","brucellosis bovine","bovine brucelloses;brucelloses bovine;bangs disease;bangs disease;disease bangs;bang disease;disease bang"
"d002006","brucellosis","brucelloses;malta fever;fever malta;gibraltar fever;fever gibraltar;rock fever;fever rock;cyprus fever;fever cyprus;brucella infection;brucella infections;infection brucella;undulant fever;fever undulant;brucelloses pulmonary;pulmonary brucelloses"
"d005896","glanders",""
"d008554","melioidosis","melioidoses;burkholderia pseudomallei infection;burkholderia pseudomallei infections;infection burkholderia pseudomallei;infections burkholderia pseudomallei"
"d019121","burkholderia infections","burkholderia infection;infection burkholderia;burkholderia cepacia sepsis;burkholderia cepacia sepses;sepses burkholderia cepacia;sepsis burkholderia cepacia;burkholderia cepacia infection;burkholderia cepacia infections;infection burkholderia cepacia;b cepacia infection;b cepacia infections;infection b cepacia;infections b cepacia;b cepacia infection;b cepacia infections;infection b cepacia"
"d002169","campylobacter infections","campylobacter infection;infection campylobacter;campylobacteriosis;campylobacterioses"
"d061387","chlamydial pneumonia","pneumonias chlamydial;chlamydophila pneumonia;chlamydophila pneumonias;pneumonia chlamydophila;pneumonias chlamydophila"
"d008219","lymphogranuloma venereum","lymphogranuloma inguinale"
"d002690","chlamydia infections","chlamydia infection;infection chlamydia"
"d009956","psittacosis","psittacoses;ornithosis;ornithoses"
"d023521","chlamydophila infections","chlamydophila infection;infection chlamydophila;chlamydia pneumoniae infections;chlamydia pneumoniae infection;infection chlamydia pneumoniae"
"d002694","chlamydiaceae infections","chlamydiaceae infection;infection chlamydiaceae"
"d045827","cytophagaceae infections","cytophagaceae infection;infection cytophagaceae;flexibacteraceae infections;flexibacteraceae infection;infection flexibacteraceae;infections flexibacteraceae"
"d045824","desulfovibrionaceae infections","desulfovibrionaceae infection;infection desulfovibrionaceae;desulfovibrio infections;desulfovibrio infection;infection desulfovibrio;infections desulfovibrio;lawsonia infections;infection lawsonia;infections lawsonia;lawsonia infection;bilophila infections;bilophila infection;infection bilophila;infections bilophila"
"d006357","heartwater disease",""
"d016873","ehrlichiosis","ehrlichioses;ehrlichia infection;ehrlichia infections;ehrlichia chaffeensis infection;ehrlichia chaffeensis infections;e chaffeensis infection;e chaffeensis infections;infection e chaffeensis;infections e chaffeensis;e chaffeensis infection;infection e chaffeensis;human ehrlichioses;ehrlichia ewingii infection;ehrlichia ewingii infections;e ewingii infection;e ewingii infections;e ewingii infection;e ewingii infections"
"d004405","dysentery bacillary","shigellosis;shigella infection;infection shigella;infections shigella;shigella infections;shigella dysentery;dysenteries shigella;dysentery shigella;shigella dysenteries;dysentery shigella flexneri;dysenteries shigella flexneri;shigella flexneri dysenteries;shigella flexneri dysentery;dysentery shigella sonnei;dysenteries shigella sonnei;shigella sonnei dysenteries;shigella sonnei dysentery;dysentery shigella boydii;dysenteries shigella boydii;shigella boydii dysenteries;shigella boydii dysentery;dysentery shigella dysenteriae;dysenteries shigella dysenteriae;shigella dysenteriae dysenteries;shigella dysenteriae dysentery;dysentery shiga bacillus;shiga bacillus dysentery;dysentery shigella dysenteriae type 1"
"d004927","escherichia coli infections","escherichia coli infection;infection escherichia coli;infections e coli;e coli infection;e coli infections;infection e coli;e coli infections;e coli infection;infection e coli"
"d006100","granuloma inguinale","granuloma venereum;donovanosis"
"d012226","rhinoscleroma","scleroma nasal"
"d007710","klebsiella infections","infection klebsiella;klebsiella infection"
"d011512","proteus infections","infection proteus;proteus infection"
"d010284","paratyphoid fever","fevers paratyphoid"
"d012478","salmonella food poisoning","food poisonings salmonella;poisonings salmonella food"
"d012481","salmonella infections animal","animal salmonella infection;infection animal salmonella;salmonella infection animal"
"d014435","typhoid fever","fevers typhoid;enteric fever;enteric fevers;fever enteric;fevers enteric;typhus abdominal;abdominal typhus;salmonella typhi infection;infection salmonella typhi;infections salmonella typhi;salmonella typhi infections;typhoid;typhoids"
"d012480","salmonella infections","salmonellosis;salmonelloses;infection salmonella;salmonella infection"
"d016868","serratia infections","infection serratia;serratia infection"
"d010930","plague","yersinia pestis infection;black death"
"d015012","yersinia pseudotuberculosis infections","pseudotuberculosis pasteurella;pasteurella pseudotuberculoses;pasteurella pseudotuberculosis;pseudotuberculoses pasteurella"
"d015009","yersinia infections","yersiniosis;yersinioses;infection yersinia;yersinia infection;yersinia enterocolitica infection;yersinia enterocolitica infections"
"d004756","enterobacteriaceae infections","infections enterobacterial;enterobacterial infection;infection enterobacterial;enterobacterial infections;enterobacteriaceae infection;infection enterobacteriaceae;cronobacter infections;cronobacter infection;infection cronobacter;infections cronobacter"
"d045826","flavobacteriaceae infections","flavobacteriaceae infection;infection flavobacteriaceae"
"d005535","foot rot","rots foot"
"d005892","gingivitis necrotizing ulcerative","vincent infection;vincents infection;fusospirillosis;vincents stomatitis;acute membranous gingivitis;fusospirillary gingivitis;phagedenic gingivitis;vincents gingivitis;trench mouth;acute necrotizing ulcerative gingivitis;vincent angina;stomatitis ulcerative"
"d057831","lemierre syndrome","lemierres disease;disease lemierres;lemierres disease;lemierre disease;disease lemierre;lemierres syndrome;lemierres syndrome;syndrome lemierres;postanginal sepsis;postanginal sepses;sepses postanginal;sepsis postanginal"
"d005674","fusobacterium infections","infections sphaerophorus;infection sphaerophorus;sphaerophorus infection;sphaerophorus infections;fusobacterium infection;infection fusobacterium;necrobacillosis;necrobacilloses"
"d045825","fusobacteriaceae infections","fusobacteriaceae infection;infection fusobacteriaceae"
"d016481","helicobacter infections","helicobacter infection;infection helicobacter"
"d007877","legionnaires disease","infections legionella pneumophila;infection legionella pneumophila;legionella pneumophila infection;legionella pneumophila infections;legionnaire disease;disease legionnaire;pontiac fever;fever pontiac"
"d007876","legionellosis","legionelloses"
"d015787","erythema chronicum migrans",""
"d000077342","post-lyme disease syndrome","syndromes post-lyme disease;post lyme disease syndrome;chronic lyme disease;lyme disease chronic;post-treatment lyme disease;lyme disease post-treatment;post treatment lyme disease;post-treatment lyme disease syndrome;post treatment lyme disease syndrome"
"d008193","lyme disease","b burgdorferi infection;b burgdorferi infections;lyme borreliosis;borreliosis lyme;borrelia burgdorferi infection;borrelia burgdorferi infections;lyme arthritis;arthritis lyme"
"d000151","acinetobacter infections","infections mimae;infection mimae;mimae infection;mimae infections;acinetobacter infection;infection acinetobacter"
"d045828","moraxellaceae infections","infection moraxellaceae;moraxellaceae infection;psychobacter infections;infection psychobacter;infections psychobacter;psychobacter infection;moraxella infections;infection moraxella;infections moraxella;moraxella infection"
"d011002","pleuropneumonia contagious","contagious pleuropneumonias;pleuropneumonias contagious"
"d011019","pneumonia mycoplasma","pneumonia primary atypical;atypical pneumonia primary;atypical pneumonias primary;pneumonias primary atypical;primary atypical pneumonia;primary atypical pneumonias;mycoplasma pneumonias;pneumonias mycoplasma;mycoplasma ovipneumoniae infection;mycoplasma ovipneumoniae infections;mycoplasma pneumoniae infection;mycoplasma pneumoniae infections;mycoplasma dispar infection;mycoplasma dispar infections"
"d009175","mycoplasma infections","infection mycoplasma;mycoplasma infection;eperythrozoonosis;eperythrozoonoses"
"d016869","ureaplasma infections","infection ureaplasma;ureaplasma infection"
"d009180","mycoplasmatales infections","infection mycoplasmatales;mycoplasmatales infection"
"d006069","gonorrhea","neisseria gonorrhoeae infection"
"d008589","meningococcal infections","infection meningococcal;meningococcal infection;meningococcal disease;meningococcal diseases"
"d016870","neisseriaceae infections","infection neisseriaceae;neisseriaceae infection"
"d002602","chancroid",""
"d006192","haemophilus infections","infections hemophilus;hemophilus infection;infection hemophilus;hemophilus infections;haemophilus infection;infection haemophilus;haemophilus influenzae type b infection;hib infection;hib infections;infection hib;haemophilus influenzae infection;haemophilus influenzae infections;infection haemophilus influenzae"
"d010326","pasteurella infections","pasteurellosis;pasteurelloses;infection pasteurella;pasteurella infection"
"d012766","pasteurellosis pneumonic","shipping fever;fever shipping"
"d000187","actinobacillosis","actinobacilloses"
"d000189","actinobacillus infections","actinobacillus infection;infection actinobacillus"
"d016871","pasteurellaceae infections","infection pasteurellaceae;pasteurellaceae infection"
"d044225","piscirickettsiaceae infections","piscirickettsiaceae infection;piscirickettsiosis;piscirickettsioses"
"d011552","pseudomonas infections","infection pseudomonas;pseudomonas infection;pseudomonas aeruginosa infection;pseudomonas aeruginosa infections"
"d011778","q fever","fevers q;coxiella burnetii fever;coxiella burnetii fevers;fever coxiella burnetii;fevers coxiella burnetii;query fever;fever query;fevers query;query fevers;coxiella burnetii infection;coxiella burnetii infections;infection coxiella burnetii;infections coxiella burnetii;coxiella burnetii vector-borne disease;coxiella burnetii vector borne disease;fever acute q;fevers acute q;fever chronic q;fevers chronic q"
"d011906","rat-bite fever","fevers rat-bite;rat bite fever;ratbite fever;fever ratbite;fevers ratbite;ratbite fevers;streptobacillus moniliformis infection;infection streptobacillus moniliformis;infections streptobacillus moniliformis;streptobacillus moniliformis infections;haverhill fever;fever haverhill;streptobacillus moniliformis endocarditis;endocarditides streptobacillus moniliformis;endocarditis streptobacillus moniliformis;streptobacillus moniliformis endocarditides;sodoku"
"d011022","pneumonia rickettsial","pneumonias rickettsial;rickettsial pneumonias"
"d001907","boutonneuse fever","fevers boutonneuse;mediterranean spotted fever;spotted fever mediterranean;rickettsia conorii infection;infection rickettsia conorii;infections rickettsia conorii;rickettsia conorii infections"
"d012373","rocky mountain spotted fever","typhus sao paulo;sao paulo typhus;brazilian spotted fever;fever brazilian spotted;spotted fever brazilian;rickettsia rickettsii infection;infection rickettsia rickettsii;rickettsia rickettsii infections"
