"id","name","terms"
"d005421","flavoring agents","flavoring agents;agent flavoring;agents flavoring;flavoring agent;flavor additives;additive flavor;additives flavor;flavor additive;flavor enhancers;enhancer flavor;enhancers flavor;flavor enhancer"
"d005520","food preservatives","food preservatives;preservatives food"
"d005503","food additives","food additives;additive food;additives food;food additive"
"d000074385","food ingredients","food ingredients;food ingredient;ingredient food;ingredients food"
"d058427","hygroscopic agents","hygroscopic agents;agents hygroscopic;humectants;desiccants;drying agents"
"d061207","calcium ionophores","calcium ionophores;ionophores calcium"
"d061216","potassium ionophores","potassium ionophores;ionophores potassium"
"d061209","proton ionophores","proton ionophores;ionophores proton"
"d061210","sodium ionophores","sodium ionophores;ionophores sodium"
"d007476","ionophores",""
"d007509","irritants","irritants;vesicants;counterirritants;rubefacients;pustulants"
"d000665","ampholyte mixtures","ampholyte mixtures;mixtures ampholyte;isoelectric focusing agents;agents isoelectric focusing;focusing agents isoelectric;carrier ampholytes;ampholytes carrier;ampholines"
"d002021","buffers","buffers;ampholytes"
"d017077","culture media conditioned","culture media conditioned;conditioned medium;medium conditioned;culture medium conditioned;conditioned culture media;conditioned media;media conditioned;conditioned culture medium"
"d016895","culture media serum-free","culture media serum-free;culture media serum free;media serum-free culture;serum-free culture media;serum-free media;media serum-free;serum free media;protein-free media;media protein-free;protein free media;low-serum media;low serum media;media low-serum"
"d003470","culture media","culture media;media culture"
"d003432","cross-linking reagents","cross-linking reagents;reagents cross-linking;crosslinking reagents;reagents crosslinking;bifunctional reagents;reagents bifunctional;cross linking reagents;linking reagents cross;reagents cross linking"
"d007364","intercalating agents","intercalating agents;agents intercalating;intercalating ligands;ligands intercalating;intercalators;intercalative compounds;compounds intercalative"
"d049408","luminescent agents","luminescent agents;agents luminescent;phosphorescent agents;agents phosphorescent"
"d056325","neuronal tract-tracers","neuronal tract-tracers;neuronal tract tracers;tract-tracers neuronal;neuroanatomical tract-tracing markers;markers neuroanatomical tract-tracing;neuroanatomical tract tracing markers;tract-tracing markers neuroanatomical"
"d019275","radiopharmaceuticals",""
"d011934","reagent strips","reagent strips;reagent strip;strip reagent;strips reagent"
"d011933","reagent kits diagnostic","reagent kits diagnostic;diagnostic reagent kits;diagnostic reagents and test kits;diagnostic test kits;diagnostic test kit;kit diagnostic test;kits diagnostic test;test kit diagnostic;test kits diagnostic;kits diagnostic reagent;diagnostic reagent kit;kit diagnostic reagent;reagent kit diagnostic;in vitro diagnostic devices;in vitro diagnostic medical devices;in vitro diagnostic device;in vitro diagnostic medical device"
"d019163","reducing agents","reducing agents;agents reducing;reductants"
"d013439","sulfhydryl reagents","sulfhydryl reagents;reagents sulfhydryl;sh-reagents;sh reagents;thiol reagents;reagents thiol;sulfhydryl compound antagonists;antagonists sulfhydryl compound;compound antagonists sulfhydryl;sulfhydryl compounds antagonists;antagonists sulfhydryl compounds;sulfhydryl compounds inhibitors;inhibitors sulfhydryl compounds;sulfhydryl compound inhibitors;compound inhibitors sulfhydryl;inhibitors sulfhydryl compound"
"d017392","thiobarbituric acid reactive substances","thiobarbituric acid reactive substances;tbars"
"d019920","photoaffinity labels","photoaffinity labels;labels photoaffinity"
"d000345","affinity labels","affinity labels;labels affinity;affinity labeling reagents;labeling reagents affinity;reagents affinity labeling"
"d007202","indicators and reagents","indicators and reagents;reagents and indicators;reagents;indicators"
"d002411","cation exchange resins","cation exchange resins;exchange resins cation;resins cation exchange;cation exchangers resins"
"d000837","anion exchange resins","anion exchange resins;exchange resins anion;resins anion exchange;anion exchangers resins"
"d007475","ion exchange resins","ion exchange resins;exchange resins ion;resins ion exchange"
"d008024","ligands",""
"d020319","oligodeoxyribonucleotides antisense","oligodeoxyribonucleotides antisense;antisense oligodna;oligodna antisense;anti-sense oligodeoxyribonucleotides;anti sense oligodeoxyribonucleotides;oligodeoxyribonucleotides anti-sense;oligodeoxyribonucleotide antisense;antisense oligodeoxyribonucleotide;antisense oligodeoxyribonucleotides"
"d016373","dna antisense","dna antisense;anti-sense dna;anti sense dna;dna anti-sense;antisense dna"
"d020320","oligoribonucleotides antisense","oligoribonucleotides antisense;oligoribonucleotide antisense;antisense oligorna;oligorna antisense;anti-sense oligoribonucleotides;anti sense oligoribonucleotides;oligoribonucleotides anti-sense;anti-sense oligoribonucleotide;anti sense oligoribonucleotide;oligoribonucleotide anti-sense;antisense oligoribonucleotide;antisense oligoribonucleotides"
"d016376","oligonucleotides antisense","oligonucleotides antisense;antisense oligonucleotides;anti-sense oligonucleotides;anti sense oligonucleotides;oligonucleotides anti-sense"
"d016372","rna antisense","rna antisense;antisense rna;anti-sense rna;anti sense rna;rna anti-sense"
"d016375","antisense elements genetics","antisense elements genetics;anti-sense elements;anti sense elements;elements anti-sense;antisense probes;probes antisense;anti-sense probes;anti sense probes;probes anti-sense"
"d018076","dna complementary","dna complementary;cdna;complementary dna;cdna probes;probes cdna"
"d017931","dna primers","dna primers;primers dna;oligodeoxyribonucleotide primers;primers oligodeoxyribonucleotide;oligonucleotide primers;primers oligonucleotide"
"d015343","dna probes hla","dna probes hla;probes hla dna;human leukocyte antigen dna probes;hla dna probes;dna probes histocompatibility antigen;histocompatibility antigen dna probes;hla-b dna probes;dna probes hla-b;hla b dna probes;probes hla-b dna;hla-c dna probes;dna probes hla-c;hla c dna probes;probes hla-c dna;hla-dr dna probes;dna probes hla-dr;hla dr dna probes;probes hla-dr dna;hla-dw dna probes;dna probes hla-dw;hla dw dna probes;probes hla-dw dna;hla-a dna probes;dna probes hla-a;hla a dna probes;probes hla-a dna;hla-d dna probes;dna probes hla-d;hla d dna probes;probes hla-d dna"
"d015344","dna probes hpv","dna probes hpv;human papilloma virus dna probes;papilloma virus dna probes;hpv dna probes;probes hpv dna"
