"meshID","name","terms"
"d028483","abelmoschus","abelmoschus esculentus","okra"
"d028202","abies","aby","fir tree","abies balsamea","fir balsam"
"d029912","abrus","abrus precatorius","bean plant precatory"
"d000045","acacia","wattle tree","locust tree","acacia catechu"
"d065815","acalypha","acalypha indica","kuppaimeni","acalypha wilkesiana","chenille plant","acalypha hispida","acalypha alnifolia","acalypha manniana"
"d027901","acanthaceae","thunbergia","hypoestes","ruellia","acanthus","hygrophila"
"d031002","acer","maple","acer negundo","box elder","acer saccharum","sugar maple"
"d031001","aceraceae",
"d031162","achillea","yarrow","achillea millefolium"
"d029044","achyranthes",
"d036921","achyrocline","marcela"
"d031841","aconitum","aconite","radix aconiti","aconitus radix","aconitum napellus","monkshood"
"d029022","acoraceae",
"d029023","acorus","sweet flag","flagroot","sweetflag","acorus calamus","sedge sweet","acorus gramineus","calamus root"
"d031842","actaea","baneberry","baneberries","bugbane"
"d029042","actinidia","kiwi plant","actinidia deliciosa"
"d029041","actinidiaceae",
"d035162","adansonia","baobab"
"d035681","adiantum",
"d031843","adonis","oxeye daisy","daisies oxeye"
"d031003","adoxaceae","adoxa","muskroot"
"d000078065","aegilops",
"d045471","aegle","aegle marmelo","crateva marmelo"
"d031319","aesculus","buckeyes","horse chestnut","aesculus hippocastanum","common horse chestnut","chestnut red"
"d000363","agaricales","mushroom","agaricaceae"
"d000364","agaricus",
"d031327","agastache","hyssop giant"
"d027882","agave","maguey","century plant"
"d036603","ageratina","ageratina adenophora","eupatorium adenophorum"
"d031163","ageratum",
"d031602","aglaia",
"d031981","agrimonia","agrimony","agrimonies","agrimonia pilosa","agrimonia eupatoria"
"d055362","agrocybe",
"d031702","agropyron",
"d031242","agrostemma","corncockle"
"d031703","agrostis","bentgrass","bentgrasses"
"d032268","ailanthus","ailanthus altissima","china sumac","tree of heaven"
"d035722","aizoaceae","tetragonia","sesuvium","trianthema"
"d031328","ajuga","bugle"
"d032604","alangiaceae","alangium"
"d031289","albizzia","silktree","albizia"
"d031982","alchemilla","lady mantle"
"d031284","aleurites","tung"
"d034902","alisma","alisma plantago aquatica","common water plantain"
"d034901","alismataceae","echinodorus"
"d035961","alismatales","alismatidae","posidonia","najas","ruppia"
"d000490","allium","alliaceae"
"d029661","alnus","alder"
"d031055","alocasia","alocasia macrorrhiza","taro giant"
"d000504","aloe","aloe vera"
"d032429","alpinia","alpinia galanga","galanga"
"d031051","alstonia","alstonia scholaris","milky pine"
"d031402","alstroemeria","lily peruvian"
"d031583","althaea","althaea officinalis","mallow marsh","althea officinalis","white mallow","marshmallow"
"d000545","amanita",
"d027703","amaranthaceae","aerva","pfaffia"
"d027721","amaranthus","amaranth plant","redroot pigweed"
"d000070378","amaryllidaceae","clivia","hippeastrum","cyrtanthus","zephyranthes","zephyrlily","zephyrlilies"
"d031164","ambrosia","ragweed"
"d031165","ammi","ammus","ammi visnaga"
"d035801","amomum",
"d031056","amorphophallus","amorphophallus konjac","konjac"
"d032421","ampelopsis","ampelopses","porcelain berry plant","plant porcelainberry"
"d029682","amsinckia",
"d030006","amsonia","amsonia elliptica"
"d027926","anacardiaceae","cotinus","spondia","lithrea","sclerocarya","marula","schinus","peppertree california","peppertree brazilian","lannea"
"d031021","anacardium","cashew","anacardium occidentale"
"d031823","anagallis","pimpernel"
"d031230","ananas","pineapple"
"d035685","andrographis",
"d031722","andropogon",
"d031403","anemarrhena","anemarrhenae"
"d031883","anemone","anemone raddeana","anemone hepatica"
"d029969","angelica",
"d031041","annona","annona cherimolia","soursop","cherimoya"
"d029061","annonaceae","fissistigma","artabotry","yingzhao","porcelia"
"d031166","anthemis","mayweed stinking","fennel dog","chamomile stinking","camomile stinking"
