"id","name","terms"
"d006896","hydroxyethylrutoside","hydroxyethylrutoside;0-beta-hydroxyethylrutoside;0 beta hydroxyethylrutoside;beta-hydroxyethylrutoside;beta hydroxyethylrutoside"
"d012431","rutin","rutin;quercetin-3-rutinoside;quercetin 3 rutinoside;3-rhamnosyl-glucosyl quercetin;quercetin 3-rhamnosyl-glucosyl;rutoside"
"d044948","flavonols","flavonols;3-hydroxy-4-keto-flavonoids;3 hydroxy 4 keto flavonoids;2-phenyl-3-hydroxy-benzopyran-4-ones;2 phenyl 3 hydroxy benzopyran 4 ones"
"d003375","coumestrol",""
"d019833","genistein","genistein;genestein"
"d036343","pterocarpans",""
"d012402","rotenone",""
"d007529","isoflavones","isoflavones;isoflavone derivatives;derivatives isoflavone;homoisoflavones;3-benzylchroman-4-ones;3 benzylchroman 4 ones;3-benzylidene-4-chromanones;3 benzylidene 4 chromanones"
"d011121","polyphloretin phosphate","polyphloretin phosphate;phosphate polyphloretin"
"d010693","phloretin",""
"d044945","proanthocyanidins","proanthocyanidins;condensed tannin;condensed tannins;tannins condensed;anthocyanidin polymers;polymers anthocyanidin;tannin condensed;procyanidins"
"d000872","anthocyanins","anthocyanins;anthocyanin;leucoanthocyanidins;anthocyanidins;anthocyanidin"
"d005419","flavonoids","flavonoids;2-phenyl-chromenes;2 phenyl chromenes;2-phenyl-benzopyrans;2 phenyl benzopyrans;bioflavonoids"
"d002867","chromones","chromones;14-benzopyrones;14 benzopyrones"
"d002953","citrinin",""
"d009675","novobiocin","novobiocin;streptonivicin;crystallinic acid;novobiocin calcium;calcium novobiocin;novobiocin sodium;sodium novobiocin;novobiocin monosodium salt;monosodium salt novobiocin"
"d049933","aminocoumarins","aminocoumarins;amino-coumarins;amino coumarins"
"d002866","chromonar","chromonar;carbocromen;carbocromene;carbochromene;carbochromen;intercordin;intensain;cardiocap;chromonar hydrochloride;hydrochloride chromonar"
"d004929","esculin","esculin;venoplant;aesculin;esculoside"
"d001728","dicumarol","dicumarol;bishydroxycoumarin;dicoumarol;dicoumarin"
"d005017","ethyl biscoumacetate","ethyl biscoumacetate;biscoumacetate ethyl;ethyldicoumarol;carbethoxydicoumarol;tromexan;pelentan"
"d010644","phenprocoumon","phenprocoumon;phenylpropylhydroxycumarinum;phenprocoumalol;phenprocoumarol;phenprogramma;marcoumar;marcumar;falithrom;liquamar"
"d014859","warfarin","warfarin;4-hydroxy-3-3-oxo-1-phenylbutyl-2h-1-benzopyran-2-one;apo-warfarin;aldocumar;gen-warfarin;warfant;coumadin;marevan;warfarin potassium;potassium warfarin;warfarin sodium;sodium warfarin;coumadine;tedicumar"
"d000074","acenocoumarol","acenocoumarol;nicoumalone;acenocoumarin;sinthrome;synthrom;syncoumar;syncumar;sinkumar;sintrom;mini-sintrom;mini sintrom;minisintrom"
"d015110","4-hydroxycoumarins","4-hydroxycoumarins;4 hydroxycoumarins"
"d005363","ficusin","ficusin;psoralene;psoralen"
"d007666","khellin","khellin;visammin"
"d008730","methoxsalen","methoxsalen;xanthotoxin;8-methoxypsoralen;8 methoxypsoralen;ammoidin;deltasoralen;dermox;geroxalen;meladinina;methoxa-dome;methoxa dome;oxsoralen;mladinine;meladinine;oxsoralen-ultra;oxsoralen ultra;puvalen;ultramop;8-mop;8 mop;8mop;meloxine"
"d000078223","5-methoxypsoralen","5-methoxypsoralen;5 methoxypsoralen;bergapten;5-methoxy psoralen;5 methoxy psoralen;pentaderm"
