"meshID","name","terms","matched"
"","decarbamoylsaxitoxin","","0"
"","delphinine","","0"
"","dendrotoxin","","0"
"","dermorphin","","0"
"","diacetoxyscirpenol","","0"
"","dicentrine","","0"
"","dictamnine","","0"
"d000112","acetyldigitoxins","acetyldigitoxins;desglucolanatosides a;alpha-acetyldigitoxin;alpha acetyldigitoxin;acetyldigitoxin;acedoxin;adicin;digitoxin monoacetate;monoacetate digitoxin","1"
"d004074","digitoxin","digitoxin;digimerck;digimed;coramedan;digitoxin awd;awd digitoxin;digitaline nativelle;nativelle digitaline;digitoxin-philo;digitoxin philo;digitoxin didier;didier digitoxin;digitoxin brger;brger digitoxin;digophton","1"
"d004073","digitoxigenin","digitoxigenin;uzarigenin","1"
"d008520","medigoxin","medigoxin;4-o-methyldigoxin;4 o methyldigoxin;metildigoxin;beta-methyldigoxin;beta methyldigoxin;medixin;bemecor;lanitop;methyldigoxin;lanirapid","1"
"d000113","acetyldigoxins","acetyldigoxins;desglucolanatosides c;digoxin didier;didier digoxin;gladixol n;glycotop;kardiamed;digotab;novodigal;stillacor;alpha-acetyldigoxin;alpha acetyldigoxin;beta-acetyldigoxin;beta acetyldigoxin;digostada;digox von ct;ct digox von;von ct digox;longdigox","1"
"d004077","digoxin","digoxin;lanacordin;lanicor;lanoxicaps;dilanacin;digacin;digitek;digoregen;digoxina boehringer;boehringer digoxina;digoxine nativelle;nativelle digoxine;hemigoxine nativelle;nativelle hemigoxine;mapluxin;lanoxin;lanoxin-pg;lanoxin pg;lenoxin","1"
"d004076","digoxigenin","digoxigenin;lanadigenin","1"
"","dinophysistoxin 1","","0"
"","dinophysistoxin 4","","0"
"","domesticine","","0"
"","domoic acid","","0"
"","echimidine","","0"
"","echistatin","","0"
"d004600","eledoisin","","1"
"","ellipticine","","0"
"","emindole sb","","0"
"","enanthotoxin","","0"
"","enniatin b","","0"
"","enniatin d","","0"
"","epibatidine","","0"
"","ergocornine","","0"
"","ergocristine","","0"
"d008755","methylergonovine","methylergonovine;methylergometrine;methylergobasin;methylergometrin;methylergonovine maleate;methylergometrine maleate;methergine;mthergin;methergin","1"
"d004874","ergonovine","ergonovine;ergometrin;ergobasin;ergometrine;ergonovine maleate;ergometrine maleate;ergotrate","1"
"d004878","ergotamine","ergotamine;ergomar;ergostat;ergotamine tartrate;tartrate ergotamine;ergotamine tartrate 21;ergotaminine;ergo-kranit;ergo kranit;lingraine;cornutamine;ergo sanol;ergodryl mono;mono ergodryl;gynergen","1"
"","euphornin","","0"
"","fasciculin","","0"
"","fasciculol e","","0"
"","fasciculol f","","0"
"d001496","batrachotoxins","batrachotoxins;batrachotoxin b","1"
"d001839","bombesin","bombesin;bombesin 14;bombesin dihydrochloride;dihydrochloride bombesin","1"
"d010803","physalaemin","physalaemin;physalemin","1"
"d000664","amphibian venoms","amphibian venoms;venoms amphibian;amphibian venom;venom amphibian;frog venoms;venoms frog;frog venom;venom frog;toad venom;venom toad;toad venoms;venoms toad","1"
"","fumonisin b1","","0"
"","fumonisin b2","","0"
"d037341","fumonisins","","1"
"d000546","amanitins","","1"
"d015638","cytochalasin d","","1"
"d003572","cytochalasins","","1"
"d005912","gliotoxin","gliotoxin;aspergillin;gliotoxins","1"
"d007051","ibotenic acid","ibotenic acid;acid ibotenic","1"
"d055646","killer factors yeast","killer factors yeast;factors yeast killer;yeast killer factors;killer toxin yeast;toxin yeast killer;yeast killer toxin;yeast killer factor;killer factor yeast;factor yeast killer","1"
"d009118","muscimol","muscimol;pantherine;agarin","1"
"d009793","ochratoxins","","1"
"d010365","patulin","","1"
"d010398","penicillic acid","penicillic acid;acid penicillic","1"
"d010590","phalloidine","phalloidine;phalloidin","1"
"d013173","sporidesmins","","1"
"d013241","sterigmatocystin","","1"
"d013720","tenuazonic acid","tenuazonic acid;acid tenuazonic","1"
"d014243","trichodermin","trichodermin;trichodermol","1"
"d013605","t-2 toxin","t-2 toxin;t 2 toxin;toxin t-2;t2 toxin;toxin t2;fusariotoxin;fusaritoxin;t-2 toxin alpha4 beta-isomer","1"
"d000080505","trichothecenes type a","trichothecenes type a;a trichothecenes type;type a trichothecenes","1"
"d000081442","trichothecenes type b","trichothecenes type b;type b trichothecenes","1"
"d000081443","trichothecenes type c","trichothecenes type c;type c trichothecenes","1"
"d014255","trichothecenes","trichothecenes;trichothecene epoxides;epoxides trichothecene;epoxytrichothecenes","1"
"d015025","zearalenone","zearalenone;f2 toxin;toxin f2;f-2 toxin;f 2 toxin;toxin f-2","1"
"d009183","mycotoxins","mycotoxins;fungal toxins;toxins fungal","1"
"","fusaproliferin","","0"
"","fusarenone x","","0"
"","gabonase","","0"
"d005702","galantamine","galantamine;lycoremine;galantamin;galanthamine;nivaline;nivalin;razadyne;reminyl;galanthamine hydrobromide","1"
"","gambieric acid a","","0"
"","gambieric acid b","","0"
"","gambieric acid c","","0"
"","gambieric acid d","","0"
"","gambierol","","0"
"","gambiertoxin 4b","","0"
"","gamma-coniceine","","0"
"","gelsedine","","0"
"","gelsemicine","","0"
"","gelsemine","","0"
"","gloriosine","","0"
"","goniodomin a","","0"
"","gonyautoxin 1","","0"
"","gonyautoxin 2","","0"
"","gonyautoxin 5","","0"
"","gonyautoxin 6","","0"
"","gonyautoxin 8","","0"
"","grayanotoxin i","","0"
"","gymnodimine","","0"
"","gyromitrin","","0"
"","hanatoxin 1","","0"
"","hemibrevetoxin b","","0"
"","histrionicotoxin","","0"
"","hoffmanniolide","","0"
"","homoyessotoxin","","0"
"","ht-2 toxin","","0"
"","huwentoxin-xi","","0"
"","hypoglycin","","0"
"","hypoglycin b","","0"
"","iberiotoxin","","0"
"","illudin m","","0"
"","illudin s","","0"
"","iriomoteolide 1a","","0"
"","isocorydine","","0"
"","isodomoic acid a","","0"
"","janthitrem b","","0"
"","janthitrem c","","0"
"","jervine","","0"
"","jingzhaotoxin i","","0"
"","jingzhaotoxin iii","","0"
"","jingzhaotoxin v","","0"
"","jingzhaotoxins","","0"
"","kappa-hefutoxin 1","","0"
"","l-hyoscyamine","","0"
"","lasiocarpine","","0"
"","latarcin 1","","0"
"","latarcin 2a","","0"
"","latarcin 3a","","0"
"","leiurotoxin i","","0"
"","lolitrem b","","0"
"","luteoskyrin","","0"
"","lycocitin 1","","0"
"","lycocitin 2","","0"
"","lycocitin 3","","0"
"","lycorine","","0"
"","lycotoxin i","","0"
"","lycotoxin ii","","0"
"","lycotoxins","","0"
"","lyngbyatoxin","","0"
"","maitotoxin","","0"
"","mandaratoxin","","0"
"","margatoxin","","0"
"","marine biotoxins","","0"
"","marinobufagenin","","0"
"","mast cell degranulating peptide","","0"
